ensembl_gene_id,hgnc_symbol,description,gene_biotype,chromosome_name,start_position,end_position
ENSG00000266967,AARSD1,alanyl-tRNA synthetase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28417],protein_coding,17,42950526,42964498
ENSG00000157426,AASDH,aminoadipate-semialdehyde dehydrogenase [Source:HGNC Symbol;Acc:HGNC:23993],protein_coding,4,56338287,56387508
ENSG00000149313,AASDHPPT,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase [Source:HGNC Symbol;Acc:HGNC:14235],protein_coding,11,106075501,106098710
ENSG00000008311,AASS,aminoadipate-semialdehyde synthase [Source:HGNC Symbol;Acc:HGNC:17366],protein_coding,7,122075647,122144280
ENSG00000275700,AATF,apoptosis antagonizing transcription factor [Source:HGNC Symbol;Acc:HGNC:19235],protein_coding,17,36948875,37056871
ENSG00000181409,AATK,apoptosis-associated tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:21],protein_coding,17,81117295,81166077
ENSG00000183044,ABAT,4-aminobutyrate aminotransferase [Source:HGNC Symbol;Acc:HGNC:23],protein_coding,16,8674565,8784575
ENSG00000165029,ABCA1,"ATP-binding cassette, sub-family A (ABC1), member 1 [Source:HGNC Symbol;Acc:HGNC:29]",protein_coding,9,104781002,104928237
ENSG00000154263,ABCA10,"ATP-binding cassette, sub-family A (ABC1), member 10 [Source:HGNC Symbol;Acc:HGNC:30]",protein_coding,17,69147214,69244846
ENSG00000144452,ABCA12,"ATP-binding cassette, sub-family A (ABC1), member 12 [Source:HGNC Symbol;Acc:HGNC:14637]",protein_coding,2,214931542,215138428
ENSG00000179869,ABCA13,"ATP-binding cassette, sub-family A (ABC1), member 13 [Source:HGNC Symbol;Acc:HGNC:14638]",protein_coding,7,48171458,48647496
ENSG00000107331,ABCA2,"ATP-binding cassette, sub-family A (ABC1), member 2 [Source:HGNC Symbol;Acc:HGNC:32]",protein_coding,9,137007227,137028922
ENSG00000167972,ABCA3,"ATP-binding cassette, sub-family A (ABC1), member 3 [Source:HGNC Symbol;Acc:HGNC:33]",protein_coding,16,2275881,2340746
ENSG00000198691,ABCA4,"ATP-binding cassette, sub-family A (ABC1), member 4 [Source:HGNC Symbol;Acc:HGNC:34]",protein_coding,1,93992835,94121132
ENSG00000154265,ABCA5,"ATP-binding cassette, sub-family A (ABC1), member 5 [Source:HGNC Symbol;Acc:HGNC:35]",protein_coding,17,69244311,69327244
ENSG00000154262,ABCA6,"ATP-binding cassette, sub-family A (ABC1), member 6 [Source:HGNC Symbol;Acc:HGNC:36]",protein_coding,17,69078702,69141888
ENSG00000064687,ABCA7,"ATP-binding cassette, sub-family A (ABC1), member 7 [Source:HGNC Symbol;Acc:HGNC:37]",protein_coding,19,1040101,1065572
ENSG00000141338,ABCA8,"ATP-binding cassette, sub-family A (ABC1), member 8 [Source:HGNC Symbol;Acc:HGNC:38]",protein_coding,17,68867292,68955392
ENSG00000154258,ABCA9,"ATP-binding cassette, sub-family A (ABC1), member 9 [Source:HGNC Symbol;Acc:HGNC:39]",protein_coding,17,68974488,69061064
ENSG00000085563,ABCB1,"ATP-binding cassette, sub-family B (MDR/TAP), member 1 [Source:HGNC Symbol;Acc:HGNC:40]",protein_coding,7,87503633,87713323
ENSG00000135776,ABCB10,"ATP-binding cassette, sub-family B (MDR/TAP), member 10 [Source:HGNC Symbol;Acc:HGNC:41]",protein_coding,1,229516582,229558695
ENSG00000073734,ABCB11,"ATP-binding cassette, sub-family B (MDR/TAP), member 11 [Source:HGNC Symbol;Acc:HGNC:42]",protein_coding,2,168922938,169031322
ENSG00000005471,ABCB4,"ATP-binding cassette, sub-family B (MDR/TAP), member 4 [Source:HGNC Symbol;Acc:HGNC:45]",protein_coding,7,87401697,87480435
ENSG00000004846,ABCB5,"ATP-binding cassette, sub-family B (MDR/TAP), member 5 [Source:HGNC Symbol;Acc:HGNC:46]",protein_coding,7,20615207,20777038
ENSG00000115657,ABCB6,"ATP-binding cassette, sub-family B (MDR/TAP), member 6 (Langereis blood group) [Source:HGNC Symbol;Acc:HGNC:47]",protein_coding,2,219209768,219218990
ENSG00000131269,ABCB7,"ATP-binding cassette, sub-family B (MDR/TAP), member 7 [Source:HGNC Symbol;Acc:HGNC:48]",protein_coding,X,75053172,75156732
ENSG00000197150,ABCB8,"ATP-binding cassette, sub-family B (MDR/TAP), member 8 [Source:HGNC Symbol;Acc:HGNC:49]",protein_coding,7,151028422,151047782
ENSG00000150967,ABCB9,"ATP-binding cassette, sub-family B (MDR/TAP), member 9 [Source:HGNC Symbol;Acc:HGNC:50]",protein_coding,12,122920951,122981649
ENSG00000103222,ABCC1,"ATP-binding cassette, sub-family C (CFTR/MRP), member 1 [Source:HGNC Symbol;Acc:HGNC:51]",protein_coding,16,15949577,16143074
ENSG00000124574,ABCC10,"ATP-binding cassette, sub-family C (CFTR/MRP), member 10 [Source:HGNC Symbol;Acc:HGNC:52]",protein_coding,6,43427366,43450430
ENSG00000121270,ABCC11,"ATP-binding cassette, sub-family C (CFTR/MRP), member 11 [Source:HGNC Symbol;Acc:HGNC:14639]",protein_coding,16,48166910,48247568
ENSG00000023839,ABCC2,"ATP-binding cassette, sub-family C (CFTR/MRP), member 2 [Source:HGNC Symbol;Acc:HGNC:53]",protein_coding,10,99782732,99852192
ENSG00000108846,ABCC3,"ATP-binding cassette, sub-family C (CFTR/MRP), member 3 [Source:HGNC Symbol;Acc:HGNC:54]",protein_coding,17,50634777,50692252
ENSG00000125257,ABCC4,"ATP-binding cassette, sub-family C (CFTR/MRP), member 4 [Source:HGNC Symbol;Acc:HGNC:55]",protein_coding,13,95019829,95301446
ENSG00000114770,ABCC5,"ATP-binding cassette, sub-family C (CFTR/MRP), member 5 [Source:HGNC Symbol;Acc:HGNC:56]",protein_coding,3,183919934,184018015
ENSG00000091262,ABCC6,"ATP-binding cassette, sub-family C (CFTR/MRP), member 6 [Source:HGNC Symbol;Acc:HGNC:57]",protein_coding,16,16148928,16223522
ENSG00000006071,ABCC8,"ATP-binding cassette, sub-family C (CFTR/MRP), member 8 [Source:HGNC Symbol;Acc:HGNC:59]",protein_coding,11,17392885,17476845
ENSG00000069431,ABCC9,"ATP-binding cassette, sub-family C (CFTR/MRP), member 9 [Source:HGNC Symbol;Acc:HGNC:60]",protein_coding,12,21797401,21941402
ENSG00000101986,ABCD1,"ATP-binding cassette, sub-family D (ALD), member 1 [Source:HGNC Symbol;Acc:HGNC:61]",protein_coding,X,153724868,153744762
ENSG00000173208,ABCD2,"ATP-binding cassette, sub-family D (ALD), member 2 [Source:HGNC Symbol;Acc:HGNC:66]",protein_coding,12,39550033,39619751
ENSG00000117528,ABCD3,"ATP-binding cassette, sub-family D (ALD), member 3 [Source:HGNC Symbol;Acc:HGNC:67]",protein_coding,1,94418455,94518666
ENSG00000119688,ABCD4,"ATP-binding cassette, sub-family D (ALD), member 4 [Source:HGNC Symbol;Acc:HGNC:68]",protein_coding,14,74285423,74303056
ENSG00000164163,ABCE1,"ATP-binding cassette, sub-family E (OABP), member 1 [Source:HGNC Symbol;Acc:HGNC:69]",protein_coding,4,145097932,145129179
ENSG00000204574,ABCF1,"ATP-binding cassette, sub-family F (GCN20), member 1 [Source:HGNC Symbol;Acc:HGNC:70]",protein_coding,6,30571376,30597179
ENSG00000033050,ABCF2,"ATP-binding cassette, sub-family F (GCN20), member 2 [Source:HGNC Symbol;Acc:HGNC:71]",protein_coding,7,151207837,151227230
ENSG00000161204,ABCF3,"ATP-binding cassette, sub-family F (GCN20), member 3 [Source:HGNC Symbol;Acc:HGNC:72]",protein_coding,3,184186023,184194012
ENSG00000160179,ABCG1,"ATP-binding cassette, sub-family G (WHITE), member 1 [Source:HGNC Symbol;Acc:HGNC:73]",protein_coding,21,42199689,42297244
ENSG00000118777,ABCG2,"ATP-binding cassette, sub-family G (WHITE), member 2 (Junior blood group) [Source:HGNC Symbol;Acc:HGNC:74]",protein_coding,4,88090264,88231322
ENSG00000172350,ABCG4,"ATP-binding cassette, sub-family G (WHITE), member 4 [Source:HGNC Symbol;Acc:HGNC:13884]",protein_coding,11,119149012,119162653
ENSG00000138075,ABCG5,"ATP-binding cassette, sub-family G (WHITE), member 5 [Source:HGNC Symbol;Acc:HGNC:13886]",protein_coding,2,43812472,43838865
ENSG00000143994,ABHD1,abhydrolase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17553],protein_coding,2,27123789,27130812
ENSG00000144827,ABHD10,abhydrolase domain containing 10 [Source:HGNC Symbol;Acc:HGNC:25656],protein_coding,3,111979010,111993363
ENSG00000106077,ABHD11,abhydrolase domain containing 11 [Source:HGNC Symbol;Acc:HGNC:16407],protein_coding,7,73736094,73738867
ENSG00000100997,ABHD12,abhydrolase domain containing 12 [Source:HGNC Symbol;Acc:HGNC:15868],protein_coding,20,25294743,25390983
ENSG00000131969,ABHD12B,abhydrolase domain containing 12B [Source:HGNC Symbol;Acc:HGNC:19837],protein_coding,14,50872160,50904970
ENSG00000139826,ABHD13,abhydrolase domain containing 13 [Source:HGNC Symbol;Acc:HGNC:20293],protein_coding,13,108218379,108234255
ENSG00000248487,ABHD14A,abhydrolase domain containing 14A [Source:HGNC Symbol;Acc:HGNC:24538],protein_coding,3,51971426,51981199
ENSG00000114786,ABHD14A-ACY1,ABHD14A-ACY1 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:38856],protein_coding,3,51975050,51989183
ENSG00000114779,ABHD14B,abhydrolase domain containing 14B [Source:HGNC Symbol;Acc:HGNC:28235],protein_coding,3,51968510,51983409
ENSG00000168792,ABHD15,abhydrolase domain containing 15 [Source:HGNC Symbol;Acc:HGNC:26971],protein_coding,17,29560547,29567137
ENSG00000204427,ABHD16A,abhydrolase domain containing 16A [Source:HGNC Symbol;Acc:HGNC:13921],protein_coding,6,31686949,31703444
ENSG00000183260,ABHD16B,abhydrolase domain containing 16B [Source:HGNC Symbol;Acc:HGNC:16128],protein_coding,20,63861213,63863306
ENSG00000129968,ABHD17A,abhydrolase domain containing 17A [Source:HGNC Symbol;Acc:HGNC:28756],protein_coding,19,1876810,1885547
ENSG00000107362,ABHD17B,abhydrolase domain containing 17B [Source:HGNC Symbol;Acc:HGNC:24278],protein_coding,9,71862452,71910931
ENSG00000136379,ABHD17C,abhydrolase domain containing 17C [Source:HGNC Symbol;Acc:HGNC:26925],protein_coding,15,80679684,80755621
ENSG00000140526,ABHD2,abhydrolase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18717],protein_coding,15,89087459,89202360
ENSG00000158201,ABHD3,abhydrolase domain containing 3 [Source:HGNC Symbol;Acc:HGNC:18718],protein_coding,18,21650897,21704805
ENSG00000100439,ABHD4,abhydrolase domain containing 4 [Source:HGNC Symbol;Acc:HGNC:20154],protein_coding,14,22598237,22613215
ENSG00000011198,ABHD5,abhydrolase domain containing 5 [Source:HGNC Symbol;Acc:HGNC:21396],protein_coding,3,43690113,43734371
ENSG00000163686,ABHD6,abhydrolase domain containing 6 [Source:HGNC Symbol;Acc:HGNC:21398],protein_coding,3,58237506,58295693
ENSG00000127220,ABHD8,abhydrolase domain containing 8 [Source:HGNC Symbol;Acc:HGNC:23759],protein_coding,19,17292131,17310236
ENSG00000136754,ABI1,abl-interactor 1 [Source:HGNC Symbol;Acc:HGNC:11320],protein_coding,10,26746593,26861087
ENSG00000138443,ABI2,abl-interactor 2 [Source:HGNC Symbol;Acc:HGNC:24011],protein_coding,2,203328219,203447723
ENSG00000108798,ABI3,"ABI family, member 3 [Source:HGNC Symbol;Acc:HGNC:29859]",protein_coding,17,49210227,49223225
ENSG00000154175,ABI3BP,"ABI family, member 3 (NESH) binding protein [Source:HGNC Symbol;Acc:HGNC:17265]",protein_coding,3,100749156,100993515
ENSG00000097007,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:76]",protein_coding,9,130713946,130887675
ENSG00000143322,ABL2,"ABL proto-oncogene 2, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:77]",protein_coding,1,179099327,179229684
ENSG00000099204,ABLIM1,actin binding LIM protein 1 [Source:HGNC Symbol;Acc:HGNC:78],protein_coding,10,114431113,114685003
ENSG00000163995,ABLIM2,"actin binding LIM protein family, member 2 [Source:HGNC Symbol;Acc:HGNC:19195]",protein_coding,4,7965310,8158832
ENSG00000173210,ABLIM3,"actin binding LIM protein family, member 3 [Source:HGNC Symbol;Acc:HGNC:29132]",protein_coding,5,149141483,149260542
ENSG00000175164,ABO,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase) [Source:HGNC Symbol;Acc:HGNC:79]",protein_coding,9,133250401,133275214
ENSG00000159842,ABR,active BCR-related [Source:HGNC Symbol;Acc:HGNC:81],protein_coding,17,1003518,1229021
ENSG00000146386,ABRACL,ABRA C-terminal like [Source:HGNC Symbol;Acc:HGNC:21230],protein_coding,6,139028682,139043302
ENSG00000146109,ABT1,activator of basal transcription 1 [Source:HGNC Symbol;Acc:HGNC:17369],protein_coding,6,26596952,26600744
ENSG00000114626,ABTB1,ankyrin repeat and BTB (POZ) domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18275],protein_coding,3,127672935,127680920
ENSG00000166016,ABTB2,ankyrin repeat and BTB (POZ) domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23842],protein_coding,11,34150988,34358008
ENSG00000060971,ACAA1,acetyl-CoA acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:82],protein_coding,3,38103129,38137242
ENSG00000167315,ACAA2,acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83],protein_coding,18,49782167,49813960
ENSG00000278540,ACACA,acetyl-CoA carboxylase alpha [Source:HGNC Symbol;Acc:HGNC:84],protein_coding,17,37084988,37406818
ENSG00000076555,ACACB,acetyl-CoA carboxylase beta [Source:HGNC Symbol;Acc:HGNC:85],protein_coding,12,109116595,109268226
ENSG00000111271,ACAD10,"acyl-CoA dehydrogenase family, member 10 [Source:HGNC Symbol;Acc:HGNC:21597]",protein_coding,12,111686056,111757107
ENSG00000240303,ACAD11,"acyl-CoA dehydrogenase family, member 11 [Source:HGNC Symbol;Acc:HGNC:30211]",protein_coding,3,132558138,132660723
ENSG00000151498,ACAD8,"acyl-CoA dehydrogenase family, member 8 [Source:HGNC Symbol;Acc:HGNC:87]",protein_coding,11,134253495,134265855
ENSG00000177646,ACAD9,"acyl-CoA dehydrogenase family, member 9 [Source:HGNC Symbol;Acc:HGNC:21497]",protein_coding,3,128879596,128916067
ENSG00000115361,ACADL,"acyl-CoA dehydrogenase, long chain [Source:HGNC Symbol;Acc:HGNC:88]",protein_coding,2,210187939,210225491
ENSG00000117054,ACADM,"acyl-CoA dehydrogenase, C-4 to C-12 straight chain [Source:HGNC Symbol;Acc:HGNC:89]",protein_coding,1,75724347,75787575
ENSG00000122971,ACADS,"acyl-CoA dehydrogenase, C-2 to C-3 short chain [Source:HGNC Symbol;Acc:HGNC:90]",protein_coding,12,120725735,120740008
ENSG00000196177,ACADSB,"acyl-CoA dehydrogenase, short/branched chain [Source:HGNC Symbol;Acc:HGNC:91]",protein_coding,10,123008979,123058311
ENSG00000072778,ACADVL,"acyl-CoA dehydrogenase, very long chain [Source:HGNC Symbol;Acc:HGNC:92]",protein_coding,17,7217125,7225273
ENSG00000157766,ACAN,aggrecan [Source:HGNC Symbol;Acc:HGNC:319],protein_coding,15,88803443,88875354
ENSG00000072818,ACAP1,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1 [Source:HGNC Symbol;Acc:HGNC:16467]",protein_coding,17,7336529,7351478
ENSG00000114331,ACAP2,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2 [Source:HGNC Symbol;Acc:HGNC:16469]",protein_coding,3,195274736,195443078
ENSG00000131584,ACAP3,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3 [Source:HGNC Symbol;Acc:HGNC:16754]",protein_coding,1,1292376,1309609
ENSG00000075239,ACAT1,acetyl-CoA acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:93],protein_coding,11,108121516,108147776
ENSG00000120437,ACAT2,acetyl-CoA acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:94],protein_coding,6,159760328,159779055
ENSG00000182827,ACBD3,acyl-CoA binding domain containing 3 [Source:HGNC Symbol;Acc:HGNC:15453],protein_coding,1,226144679,226186730
ENSG00000181513,ACBD4,acyl-CoA binding domain containing 4 [Source:HGNC Symbol;Acc:HGNC:23337],protein_coding,17,45132600,45144181
ENSG00000107897,ACBD5,acyl-CoA binding domain containing 5 [Source:HGNC Symbol;Acc:HGNC:23338],protein_coding,10,27195214,27242130
ENSG00000230124,ACBD6,acyl-CoA binding domain containing 6 [Source:HGNC Symbol;Acc:HGNC:23339],protein_coding,1,180269653,180502954
ENSG00000176244,ACBD7,acyl-CoA binding domain containing 7 [Source:HGNC Symbol;Acc:HGNC:17715],protein_coding,10,15077523,15088776
ENSG00000110455,ACCS,1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional) [Source:HGNC Symbol;Acc:HGNC:23989],protein_coding,11,44065925,44084222
ENSG00000205126,ACCSL,1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)-like [Source:HGNC Symbol;Acc:HGNC:34391],protein_coding,11,44047981,44059977
ENSG00000102977,ACD,adrenocortical dysplasia homolog (mouse) [Source:HGNC Symbol;Acc:HGNC:25070],protein_coding,16,67657512,67660815
ENSG00000159640,ACE,angiotensin I converting enzyme [Source:HGNC Symbol;Acc:HGNC:2707],protein_coding,17,63477061,63498380
ENSG00000130234,ACE2,angiotensin I converting enzyme 2 [Source:HGNC Symbol;Acc:HGNC:13557],protein_coding,X,15561033,15602148
ENSG00000167769,ACER1,alkaline ceramidase 1 [Source:HGNC Symbol;Acc:HGNC:18356],protein_coding,19,6306142,6333629
ENSG00000177076,ACER2,alkaline ceramidase 2 [Source:HGNC Symbol;Acc:HGNC:23675],protein_coding,9,19409059,19452020
ENSG00000078124,ACER3,alkaline ceramidase 3 [Source:HGNC Symbol;Acc:HGNC:16066],protein_coding,11,76860867,77026797
ENSG00000087085,ACHE,acetylcholinesterase (Yt blood group) [Source:HGNC Symbol;Acc:HGNC:108],protein_coding,7,100889994,100896974
ENSG00000100813,ACIN1,apoptotic chromatin condensation inducer 1 [Source:HGNC Symbol;Acc:HGNC:17066],protein_coding,14,23058564,23095614
ENSG00000144648,ACKR2,atypical chemokine receptor 2 [Source:HGNC Symbol;Acc:HGNC:1565],protein_coding,3,42804752,42887974
ENSG00000144476,ACKR3,atypical chemokine receptor 3 [Source:HGNC Symbol;Acc:HGNC:23692],protein_coding,2,236567787,236582358
ENSG00000129048,ACKR4,atypical chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:1611],protein_coding,3,132597237,132618967
ENSG00000131473,ACLY,ATP citrate lyase [Source:HGNC Symbol;Acc:HGNC:115],protein_coding,17,41866908,41930542
ENSG00000153086,ACMSD,aminocarboxymuconate semialdehyde decarboxylase [Source:HGNC Symbol;Acc:HGNC:19288],protein_coding,2,134838547,134902034
ENSG00000122729,ACO1,"aconitase 1, soluble [Source:HGNC Symbol;Acc:HGNC:117]",protein_coding,9,32384603,32454769
ENSG00000100412,ACO2,"aconitase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:118]",protein_coding,22,41469125,41528989
ENSG00000184227,ACOT1,acyl-CoA thioesterase 1 [Source:HGNC Symbol;Acc:HGNC:33128],protein_coding,14,73537114,73543794
ENSG00000162390,ACOT11,acyl-CoA thioesterase 11 [Source:HGNC Symbol;Acc:HGNC:18156],protein_coding,1,54542257,54639192
ENSG00000172497,ACOT12,acyl-CoA thioesterase 12 [Source:HGNC Symbol;Acc:HGNC:24436],protein_coding,5,81330005,81394179
ENSG00000112304,ACOT13,acyl-CoA thioesterase 13 [Source:HGNC Symbol;Acc:HGNC:20999],protein_coding,6,24667035,24705065
ENSG00000119673,ACOT2,acyl-CoA thioesterase 2 [Source:HGNC Symbol;Acc:HGNC:18431],protein_coding,14,73567620,73575658
ENSG00000177465,ACOT4,acyl-CoA thioesterase 4 [Source:HGNC Symbol;Acc:HGNC:19748],protein_coding,14,73591706,73596496
ENSG00000205669,ACOT6,acyl-CoA thioesterase 6 [Source:HGNC Symbol;Acc:HGNC:33159],protein_coding,14,73610945,73619888
ENSG00000097021,ACOT7,acyl-CoA thioesterase 7 [Source:HGNC Symbol;Acc:HGNC:24157],protein_coding,1,6264269,6394391
ENSG00000101473,ACOT8,acyl-CoA thioesterase 8 [Source:HGNC Symbol;Acc:HGNC:15919],protein_coding,20,45841721,45857406
ENSG00000123130,ACOT9,acyl-CoA thioesterase 9 [Source:HGNC Symbol;Acc:HGNC:17152],protein_coding,X,23702253,23766475
ENSG00000161533,ACOX1,"acyl-CoA oxidase 1, palmitoyl [Source:HGNC Symbol;Acc:HGNC:119]",protein_coding,17,75941507,75979363
ENSG00000168306,ACOX2,"acyl-CoA oxidase 2, branched chain [Source:HGNC Symbol;Acc:HGNC:120]",protein_coding,3,58505136,58537319
ENSG00000087008,ACOX3,"acyl-CoA oxidase 3, pristanoyl [Source:HGNC Symbol;Acc:HGNC:121]",protein_coding,4,8366282,8440723
ENSG00000153093,ACOXL,acyl-CoA oxidase-like [Source:HGNC Symbol;Acc:HGNC:25621],protein_coding,2,110732573,111118222
ENSG00000143727,ACP1,"acid phosphatase 1, soluble [Source:HGNC Symbol;Acc:HGNC:122]",protein_coding,2,264140,278283
ENSG00000134575,ACP2,"acid phosphatase 2, lysosomal [Source:HGNC Symbol;Acc:HGNC:123]",protein_coding,11,47239302,47248906
ENSG00000102575,ACP5,"acid phosphatase 5, tartrate resistant [Source:HGNC Symbol;Acc:HGNC:124]",protein_coding,19,11574660,11579008
ENSG00000162836,ACP6,"acid phosphatase 6, lysophosphatidic [Source:HGNC Symbol;Acc:HGNC:29609]",protein_coding,1,147629652,147670496
ENSG00000014257,ACPP,"acid phosphatase, prostate [Source:HGNC Symbol;Acc:HGNC:125]",protein_coding,3,132317367,132368298
ENSG00000142513,ACPT,"acid phosphatase, testicular [Source:HGNC Symbol;Acc:HGNC:14376]",protein_coding,19,50790415,50795224
ENSG00000100312,ACR,acrosin [Source:HGNC Symbol;Acc:HGNC:126],protein_coding,22,50738196,50745334
ENSG00000111644,ACRBP,acrosin binding protein [Source:HGNC Symbol;Acc:HGNC:17195],protein_coding,12,6638075,6647460
ENSG00000147174,ACRC,acidic repeat containing [Source:HGNC Symbol;Acc:HGNC:15805],protein_coding,X,71578411,71613583
ENSG00000134940,ACRV1,acrosomal vesicle protein 1 [Source:HGNC Symbol;Acc:HGNC:127],protein_coding,11,125671522,125681123
ENSG00000103740,ACSBG1,acyl-CoA synthetase bubblegum family member 1 [Source:HGNC Symbol;Acc:HGNC:29567],protein_coding,15,78167468,78245688
ENSG00000130377,ACSBG2,acyl-CoA synthetase bubblegum family member 2 [Source:HGNC Symbol;Acc:HGNC:24174],protein_coding,19,6135247,6193094
ENSG00000167107,ACSF2,acyl-CoA synthetase family member 2 [Source:HGNC Symbol;Acc:HGNC:26101],protein_coding,17,50426158,50474845
ENSG00000176715,ACSF3,acyl-CoA synthetase family member 3 [Source:HGNC Symbol;Acc:HGNC:27288],protein_coding,16,89088375,89155846
ENSG00000151726,ACSL1,acyl-CoA synthetase long-chain family member 1 [Source:HGNC Symbol;Acc:HGNC:3569],protein_coding,4,184755595,184826818
ENSG00000123983,ACSL3,acyl-CoA synthetase long-chain family member 3 [Source:HGNC Symbol;Acc:HGNC:3570],protein_coding,2,222860934,222944639
ENSG00000068366,ACSL4,acyl-CoA synthetase long-chain family member 4 [Source:HGNC Symbol;Acc:HGNC:3571],protein_coding,X,109624244,109733403
ENSG00000197142,ACSL5,acyl-CoA synthetase long-chain family member 5 [Source:HGNC Symbol;Acc:HGNC:16526],protein_coding,10,112374018,112428380
ENSG00000164398,ACSL6,acyl-CoA synthetase long-chain family member 6 [Source:HGNC Symbol;Acc:HGNC:16496],protein_coding,5,131806990,132012243
ENSG00000166743,ACSM1,acyl-CoA synthetase medium-chain family member 1 [Source:HGNC Symbol;Acc:HGNC:18049],protein_coding,16,20623237,20698890
ENSG00000183747,ACSM2A,acyl-CoA synthetase medium-chain family member 2A [Source:HGNC Symbol;Acc:HGNC:32017],protein_coding,16,20451461,20487667
ENSG00000066813,ACSM2B,acyl-CoA synthetase medium-chain family member 2B [Source:HGNC Symbol;Acc:HGNC:30931],protein_coding,16,20536226,20576427
ENSG00000005187,ACSM3,acyl-CoA synthetase medium-chain family member 3 [Source:HGNC Symbol;Acc:HGNC:10522],protein_coding,16,20610243,20797581
ENSG00000215009,ACSM4,acyl-CoA synthetase medium-chain family member 4 [Source:HGNC Symbol;Acc:HGNC:32016],protein_coding,12,7304284,7328724
ENSG00000183549,ACSM5,acyl-CoA synthetase medium-chain family member 5 [Source:HGNC Symbol;Acc:HGNC:26060],protein_coding,16,20409534,20441336
